"country","state","lat","long","week","population","confirmed","death","prevalence","log_prevalence","prev_day_total","new_cases","incidence","log_incidence","prev_day_actual"
"US","Indiana",39.802340895,-86.18347617,2020-09-07,6732219,105804,3214,0.0157160662777013,-2.15661579290428,99804,6000,0.000891236604156817,-2.29371220768229,6491
"US","Indiana",39.802340895,-86.18347617,2020-09-14,6732219,111505,3281,0.0165628895910843,-2.14932432681321,105804,5701,0.000846823313383002,-2.29415251420164,6000
"US","Indiana",39.802340895,-86.18347617,2020-09-21,6732219,117450,3354,0.0174459565263697,-2.14177699566125,111505,5945,0.000883066935285379,-2.29379318597073,5701
"US","Indiana",39.802340895,-86.18347617,2020-09-28,6732219,125146,3447,0.0185891160106348,-2.13209056719769,117450,7696,0.00114315948426514,-2.29121834509699,5945
"US","Indiana",39.802340895,-86.18347617,2020-10-05,6732219,134981,3562,0.0200500013442819,-2.11984694511719,125146,9835,0.00146088533364705,-2.28808192094388,7696
"US","Indiana",39.802340895,-86.18347617,2020-10-12,6732219,147582,3704,0.0219217467524452,-2.10437586010866,134981,12601,0.00187174540816334,-2.28404065484516,9835
"US","Indiana",39.802340895,-86.18347617,2020-10-19,6732219,162607,3894,0.0241535517486879,-2.08623615890969,147582,15025,0.0022318049962427,-2.28051244614055,12601
"US","Indiana",39.802340895,-86.18347617,2020-10-26,6732219,182108,4124,0.0270502192516316,-2.06317284350607,162607,19501,0.00289666750294368,-2.27403002244942,15025
"US","Indiana",39.802340895,-86.18347617,2020-11-02,6732219,210374,4383,0.0312488348938144,-2.03066025454931,182108,28266,0.00419861564218276,-2.26145643533478,19501
"US","Indiana",39.802340895,-86.18347617,2020-11-09,6732219,251597,4660,0.0373720759826738,-1.98506215141537,210374,41223,0.00612324108885941,-2.24315420844454,28266
"US","Indiana",39.802340895,-86.18347617,2020-11-16,6732219,295357,5040,0.0438721616156575,-1.93883014026218,251597,43760,0.00650008563298372,-2.23960948976741,41223
"US","Indiana",39.802340895,-86.18347617,2020-11-23,6732219,333312,5418,0.0495099758341195,-1.90039216039019,295357,37955,0.005637814218462,-2.24773888261863,43760
"US","Iowa",42.03657094,-93.46499005,2020-01-20,3155070,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Iowa",42.03657094,-93.46499005,2020-01-27,3155070,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Iowa",42.03657094,-93.46499005,2020-02-03,3155070,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Iowa",42.03657094,-93.46499005,2020-02-10,3155070,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Iowa",42.03657094,-93.46499005,2020-02-17,3155070,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Iowa",42.03657094,-93.46499005,2020-02-24,3155070,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Iowa",42.03657094,-93.46499005,2020-03-02,3155070,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Iowa",42.03657094,-93.46499005,2020-03-09,3155070,18,0,5.70510321482566e-06,-2.30252804358925,0,18,5.70510321482566e-06,-2.30252804358925,0
"US","Iowa",42.03657094,-93.46499005,2020-03-16,3155070,90,0,2.85255160741283e-05,-2.30229987851082,18,72,2.28204128593026e-05,-2.30235691490005,18
"US","Iowa",42.03657094,-93.46499005,2020-03-23,3155070,336,4,0.000106495260010079,-2.30152070705369,90,246,7.79697439359507e-05,-2.30180569936083,72
"US","Iowa",42.03657094,-93.46499005,2020-03-30,3155070,869,18,0.000275429705204639,-2.29983458206764,336,533,0.00016893444519456,-2.30089717387941,246
"US","Iowa",42.03657094,-93.46499005,2020-04-06,3155070,1587,35,0.000502999933440462,-2.29756770184453,869,718,0.000227570228235824,-2.30031197620033,533
"US","Iowa",42.03657094,-93.46499005,2020-04-13,3155070,2895,75,0.000917570767051127,-2.2934512263764,1587,1308,0.000414570833610665,-2.29844795442972,718
"US","Iowa",42.03657094,-93.46499005,2020-04-20,3155070,5470,118,0.0017337174769498,-2.28539649226133,2895,2575,0.000816146709898671,-2.29445675055914,1308
"US","Iowa",42.03657094,-93.46499005,2020-04-27,3155070,9051,184,0.0028687160665215,-2.27430170504354,5470,3581,0.00113499858957171,-2.29129903492307,2575
"US","Iowa",42.03657094,-93.46499005,2020-05-04,3155070,11959,265,0.00379040718589445,-2.26538172884186,9051,2908,0.000921691119372946,-2.29341039832062,3581
"US","Iowa",42.03657094,-93.46499005,2020-05-11,3155070,14643,351,0.00464110146526068,-2.25721886509336,11959,2684,0.000850694279366226,-2.29411413032831,2908
"US","Iowa",42.03657094,-93.46499005,2020-05-18,3155070,17248,456,0.00546675668051739,-2.24935947827559,14643,2605,0.000825655215256714,-2.29436243970421,2684
"US","Iowa",42.03657094,-93.46499005,2020-05-25,3155070,19551,535,0.00619669294183647,-2.24246231056653,17248,2303,0.000729936261319083,-2.29531224179535,2605
"US","Iowa",42.03657094,-93.46499005,2020-06-01,3155070,21708,605,0.00688035447707975,-2.23604525260986,19551,2157,0.000683661535243275,-2.29577174132663,2303
"US","Iowa",42.03657094,-93.46499005,2020-06-08,3155070,23921,652,0.0075817652223247,-2.22950411380982,21708,2213,0.000701410745244955,-2.29559546996901,2157
"US","Iowa",42.03657094,-93.46499005,2020-06-15,3155070,25958,686,0.00822739273613581,-2.22352077699449,23921,2037,0.000645627513811104,-2.29614957032572,2213
